i,0.1,0.35
y,0.65,0.75
i,0.85,0.95
e,0.95,1.05
e,1.2,1.4
y,1.6,1.65
e,1.7,1.75
e,1.95,2.05
a,2.2,2.3
i,2.4,2.5
ö,2.59,2.72
a,2.76,2.81
a,2.80,2.87
u,2.99,3.20
i,3.26,3.36
ä,3.55,3.61
a,3.79,3.85
e,3.93,3.98
e,3.99,4.04
u,4.14,4.27
a,4.49,4.59
i,4.79,4.86
a,5.08,5.16
a,5.34,5.39
e,5.48,5.55
o,5.91,5.96
a,5.99,6.03
y,6.26,6.31
e,6.43,6.50
i,6.66,6.71
ä,7.22,7.28
e,8.02,8.08
u,8.14,8.24
å,8.40,8.43
a,8.57,8.83
a,8.87,8.95
o,9.03,9.08
ö,9.33,9.44
a,9.55,9.59
e,9.63,9.67
å,9.83,9.89
a,10.25,10.30
o,10.35,10.45
ä,10.69,10.78
a,10.86,10.94
o,11.02,11.24
e,11.34,11.39
u,11.53,11.63
a,11.79,11.87
å,12.24,12.35
y,14.17,14.23
i,14.41,14.49
i,14.61,14.68
a,14.88,15.05
a,15.11,15.15
ä,15.62,15.65
i,15.77,15.85
a,15.97,16.03
i,16.06,16.13
a,17.42,17.49
a,17.66,17.72
e,17.81,18.01
o,18.12,18.15
i,19.06,19.18
u,19.32,19.41
e,19.64,19.69
e,19.78,19.83
ö,20.02,20.12
a,20.28,20.34
y,21.57,21.66
a,21.77,21.81
e,21.90,21.95
a,22.33,22.49
i,23.04,23.12
a,23.23,23.30
e,23.32,23.38
a,23.53,23.65
å,24.11,24.20
ä,24.49,24.56
e,24.59,24.62
o,24.78,24.88
ä,27.08,27.16
o,27.75,27.79
i,28.88,28.96
u,29.50,29.88
a,29.90,29.99
o,30.89,31.06
ö,31.25,31.31
o,31.51,31.55
o,31.61,31.67
e,31.76,31.82
i,32.41,32.49
a,32.55,32.63
å,32.99,33.16
o,3.26,3.34
ä,3.56,3.78
i,3.85,33.92
e,35.53,35.59
e,36.73,36.94
o,37.28,37.39
ä,37.54,37.60
a,37.62,37.71
u,37.89,37.93
e,38.06,38.12
u,38.20,38.61
å,38.79,38.87
e,39.05,39.13
a,39.58,39.65
e,39.82,39.93
a,39.98,40.05
ä,40.16,40.28
i,40.42,40.50
a,40.66,40.75
a,43.25,43.37
i,43.57,43.61




